Element Group,Element Name,Atomic Number,Atomic Weight,Oxidation State,Electronegativity value,Uses/Importance,Common products in which the element is present,Valence electron
Other Non Metals,Hydrogen,1,1," +1, -1",2.1,"Hydrogen can be used to power vehicles, generate electricity, power industry and heat our homes and businesses.","Hydrogen combines with other elements to form numerous compounds. Some of the common ones are: water (H2O), ammonia (NH3), methane (CH4), table sugar (C12H22O11), hydrogen peroxide (H2O2) and hydrochloric acid (HCl). ",1
Noble Gases,Helium,2,4,0,0,"Perhaps the most familiar use of helium is as a safe, non-flammable gas to fill party and parade balloons. However, helium is a critical component in many fields, including scientific research, medical technology, high-tech manufacturing, space exploration, and national defense.","blimps, research balloons, and balloons for celebrations",2
Alkali Metals,Lithium,3,7,1,1,"The most important use of lithium is in rechargeable batteries for mobile phones, laptops, digital cameras and electric vehicles. Lithium is also used in some non-rechargeable batteries for things like heart pacemakers, toys and clocks.","Lithium-Ion batteries are rechargeable and are used in vaping devices, many personal electronics such as cell phones, tablets, and laptops, E-Bikes, electric toothbrushes, tools, hoverboards, scooters, and for solar power backup storage.",1
Alkaline Earth Metals,Beryllium,4,9,2,1.5,Watch spring; Space shuttle paris; Welding electrodes; X-ray tubes.,2,
Other Non Metals,Boron,5,11,3,2,Boron is an extremely valuable mineral and it is used in many products from cookware and medicine to nuclear waste storage and space exploration,"Common borate compounds include boric acid, salts of borates and boron oxide.",3
Other Non Metals,Carbon,6,12,"+2, +-4",2.5,"helps to regulate the Earth's temperature, makes all life possible, is a key ingredient in the food that sustains us, and provides a major source of the energy to fuel our global economy","Some of the common items in our homes are made of carbon, including shampoo, deodorant, hand lotion, and detergent.",4
Other Non Metals,Nitrogen,7,14,"+-1, +-2, +-3,+4,+5",3,"It is used to make fertilisers, nitric acid, nylon, dyes and explosives.","Nitrogen is used to reduce fire hazards in some aircraft fuel systems. Nitrogen is also important to the chemical industry. It is used in the production of fertilisers, nitric acid, nylon, dyes and explosives. Nitrogen is used for filling in light bulbs since it is a non-reactive gas.",5
Other Non Metals,Oxygen,8,16,-2,3.5,"The main applications of oxygen in order of importance are: 1) melting, refining and manufacture of steel and other metals; 2) manufacture of chemicals by controlled oxidation; 3) rocket propulsion; 4) medical and biological life support; 5) mining, production and manufacture of stone and glass products.","Common uses of oxygen include production of steel, plastics and textiles, brazing, welding and cutting of steels and other metals, rocket propellant, oxygen therapy, and life support systems in aircraft, submarines, spaceflight and diving.",6
Halogens,Fluorine,9,19,-1,4,"Fluorine and its compounds are used in producing uranium (from the hexafluoride) and more than 100 commercial fluorochemicals, including many high-temperature plastics. Hydrofluoric acid etches glass of light bulbs. Fluorochlorohydrocarbons are extensively used in air conditioning and refrigeration.","Now we use fluorine in refrigerators, toothpaste, and rocket fuels. Located in the second period of the table (row 2), fluorine is the first element in the family of halogen gases. Fluorine is a yellowish gas at room temperature and is very dangerous. Be careful if you are working in a chemistry lab with fluorine gas.",7
Noble Gases,Neon,10,20,0,0,"Neon is used in vacuum tubes, high-voltage indicators, lightning arresters, wavemeter tubes, television tubes, and helium–neon lasers.","vacuum tubes, high-voltage indicators, lightning arresters, wavemeter tubes, television tubes, and helium–neon lasers",8
Alkali Metals,Sodium,11,23,1,0.9,"Sodium is used as a heat exchanger in some nuclear reactors, and as a reagent in the chemicals industry. But sodium salts have more uses than the metal itself. The most common compound of sodium is sodium chloride (common salt). It is added to food and used to de-ice roads in winter.","Sodium is often added in packaged and prepared foods, such as canned soups, lunch meats and frozen dinners — either as salt or other common forms of sodium such as baking soda.",1
Alkaline Earth Metals,Magnesium,12,24,2,1.2,Electronics; Medicine; Fire combustion; Automobile,2,
Other Metals,Aluminum,13,27,"+1, +2, +3",1.61,"Aluminium is used in a huge variety of products including cans, foils, kitchen utensils, window frames, beer kegs and aeroplane parts.","Cans, Foils, Kitchen utensils,Tablet PCs, flat screen TVs, sporting equipment, furniture, mirrors and coffee machines",3
Other Non Metals,Silicon,14,28,"2, +-4",1.8,"Silicone is used in a huge range of car parts, such as airbags, hydraulic bearings, ignition cables, shock absorbers and headlamps. You might be wearing it! Silicone is used in a variety of make-ups, cleansers, shampoos and other personal care products to improve shine and texture","Silicon is the principal component of glass, cement, ceramics, most semiconductor devices, and silicones, the latter a plastic substance often confused with silicon. Silicon is also an important constituent of some steels and a major ingredient in bricks. It is a refractory material used in making enamels and pottery.",4
Other Non Metals,Phosphorus,15,31,"+-3, +-5",2.1,"It is used to make fertilisers, animal feeds, rust removers, corrosion preventers, and even dishwasher tablets. Some phosphate rock is also heated with coke and sand in an electric furnace to form white phosphorus which is then converted to phosphorus trichloride and phosphorous acid.","Many different types of foods contain phosphorus, including dairy products, meats and poultry, fish, eggs, nuts, legumes, vegetables, and grains ",5
Other Non Metals,Sulfur,16,32,"-2, +4,6",2.6,"Uses. Sulfur is commonly used to create sulfuric acid, which is used in a number of different industries. Specifically, sulfuric acid is used to make fertilizers and lead-acid batteries. As well, sulfur is used in the production or inorganic chemicals, matches, explosives, cement, and glass.","What are 3 common uses of sulfur? It is used for making car batteries, fertilizer, oil refining, water processing, and mineral extraction. Other applications for sulfur-based chemicals include rubber vulcanization, bleaching paper, and product making such as cement, detergents, and pesticides. And some gunpowder.",6
Halogens,Chlorine,17,35,"+-1, +-5, 7",3.1,"Chlorine has a variety of uses. It is used to disinfect water and is part of the sanitation process for sewage and industrial waste. During the production of paper and cloth, chlorine is used as a bleaching agent. It is also used in cleaning products, including household bleach which is chlorine dissolved in water.","Large amounts of chlorine are used in many industrial processes, such as in the production of paper products, plastics, dyes, textiles, medicines, antiseptics, insecticides, solvents and paints. Two of the most familiar chlorine compounds are sodium chloride (NaCl) and hydrogen chloride (HCl).",7
Noble Gases,Argon,18,40,0,0,"Argon is used popularly within welding and casting industries, especially in the making of specialty alloys and manufacturing titanium. It is also used as a shield gas during arc welding, seeing as it protects the metal that's being worked on from oxygen.",Fluorescent tubes and low-energy light bulbs,8
Alkali Metals,Potassium,19,39,1,0.8,"Potassium plays a role in the transmission of nerve signals, muscle contractions, fluid balance, and various chemical reactions. Potassium is most commonly used for treating and preventing low potassium levels, treating high blood pressure, and preventing stroke.","Drain cleaners, fertilizers, heat transfer agents, strike anyware matches, fireworks, exosives",1
Alkaline Earth Metals,Calcium,20,40,2,1,Automotive batteries; Deodorizer; Food; Medicine; Portland cement,2,
Rare Earth Elements and Lanthanoid Elements,Scandium,21,45,3,1.3,"Spacecraft materials,high intensity lights and tracing agent for refinery",aluminum-scandium alloys ,2
Transition Metals,Titanium,22,48,"+2,3,4",1.5,Aircraft engines; Desalination plants; Gemstones; Paints,"house paint, artists' paint, plastics, enamels and paper.",4
Transition Metals,Vanadium,23,51,"+2,3,4,5",1.6,"High strength, tools; Ceramics; Superconductor; mognet Spring; Banding agent","various alloys, Benfield and Stretford gas processing, coloring compounds, batteries, dye fixants and vitamins, as well as catalyst in maleic-acid and sulfuric-acid production.",5
Transition Metals,Chromium,24,52,"+2,3,6",1.6,Videotape; Stainless steel; Textile mordant; Tanning agent,Paints and Dyes ,6
Transition Metals,Manganese,25,55,"+2,3,4,7",1.5,Steel for rail switches; Dry cells; Paint dryer; Medicine oxidizer,low-cost stainless steel formulations and certain widely used alumimum alloys.,7
Transition Metals,Iron,26,56,"+2, 3",1.8,"Iron is essential in making hemoglobin, a protein in red blood cells. These red blood cells help carry oxygen throughout your body","Meat, Poultry, Fish.",2 or 8
Transition Metals,Cobalt,27,59,"+2, 3",1.8,"used in many alloys & super alloys to make parts in aircraft engines, gas turbines, high-speed steels, corrosion-resistant alloys, and cemented carbides.","drying agents for paints, varnishes, and inks",2 or 9
Transition Metals,Nickle,28,59,"+2, 3",1.8,it is used to make coins. It is used in making wires. It is used in gas turbines and rocket engines as it has the capability to resist corrosion even at high temperatures.,"coins, zippers, eyeglass frames, cosmetics, detergents,",2 or 10
Transition Metals,Copper,29,64,"+1, 2",1.9,"Most copper is used in electrical equipment such as wiring and motors. This is because it conducts both heat and electricity very well, and can be drawn into wires.","refrigerators, washing machines, dryers, microwaves, and dishwashers",1
Transition Metals,Zinc,30,65,2,1.6,"It's needed for immune function, wound healing, blood clotting, thyroid function, and much more. It also plays a key role in maintaining vision and might have effects against viruses.","meat, fish, and seafood",2
Other Metals,Gallium,31,70,3,1.81,"Common uses for gallium include the production of brilliant mirrors and in liquid thermometers. In the form of gallium arsenide (GaAs), this compound is used to produce LEDs for numerous devices such as smartphones and calculators, because it has the ability to convert electricity directly to light.","Semiconductors, transistors, and very small electronic devices",3
Other Metals,Germanium,32,73,"+2, 4",1.8,"This makes it suitable for use in wide-angle camera lenses and objective lenses for microscopes. This is now the major use for this element. Germanium is also used as an alloying agent (adding 1% germanium to silver stops it from tarnishing), in fluorescent lamps and as a catalyst.","It is used as dopant in telecom glass fibre and as semiconductor substrate for the solar arrays of telecommunication satellites. Other applications of germanium are CPV solar systems, light-emitting diodes (LEDs), gamma-ray detectors, infrared-optics, micro-electronics and polymerization catalysts.",4
Other Non Metals,Arsenic,33,75,"+-3, +-5",2.2,"Arsenic and arsenic compounds have been produced and used commercially for centuries. Current and historical uses of arsenic include pharmaceuticals, wood preservatives, agricultural chemicals, and applications in the mining, metallurgical, glass-making, and semiconductor industries.","In the agricultural industry, arsenic has historically been used in a range of applications, including pesticides, herbicides, insecticides, cotton desiccants, defoliants, and soil sterilants.",5
Other Non Metals,Selenium,34,79,"-2, +4, 6",2.4,"Selenium is used to make pigments for ceramics, paint and plastics. Selenium has both a photovoltaic action (converts light to electricity) and a photoconductive action (electrical resistance decreases with increased illumination). It is therefore useful in photocells, solar cells and photocopiers.","Seafood, organ meats, and Brazil nuts are the foods highest in selenium although Americans obtain most of their selenium from everyday staples, like breads, cereals, poultry, red meat, and eggs.",6
